Date ,Close ,Delta,Delta Base,Tag
09-Jun-23,14626, (66), 434 ,Nifty Auto
09-Jun-23,12861.05, 407 , 907 ,Nifty Pharma
09-Jun-23,22465.75, 908 ," 1,408 ",Nifty Private Bank
09-Jun-23,7405.5, 53 , 553 ,Nifty Oil & Gas
09-Jun-23,6039.35, 336 , 836 ,Nifty Metal
09-Jun-23,1763.5,79, 579 ,Nifty Media
09-Jun-23,28355.35," 1,342 "," 1,842 ",Nifty IT
09-Jun-23,8365.4, 481 , 981 ,Nifty Healthcare
09-Jun-23,50674.85," 3,732 "," 4,232 ",Nifty FMCG
09-Jun-23,24169.5, 962 ," 1,462 ",Nifty Energy
09-Jun-23,26371.75," 1,813 "," 2,313 ",Nifty Con Durable
09-Jun-23,43989,1353.25," 1,853 ",Nifty Bank
09-Jun-23,4035.3, 51 , 551 ,Nifty PSU Banks
12-Jun-23,505.5, 78 , 578 ,Nifty Realty
12-Jun-23,19399.75, 407 , 907 ,Nifty Financial Services
12-Jun-23,14673.85, 48 , 548 ,Nifty Auto
12-Jun-23,12856.05, 402 , 902 ,Nifty Pharma
12-Jun-23,22457.9, 901 ," 1,401 ",Nifty Private Bank
12-Jun-23,7468.6, 116 , 616 ,Nifty Oil & Gas
12-Jun-23,6076.3, 373 , 873 ,Nifty Metal
12-Jun-23,1783.5,99, 599 ,Nifty Media
12-Jun-23,28784," 1,770 "," 2,270 ",Nifty IT
12-Jun-23,8363.4, 479 , 979 ,Nifty Healthcare
12-Jun-23,50762.55," 3,820 "," 4,320 ",Nifty FMCG
12-Jun-23,24269.05," 1,062 "," 1,562 ",Nifty Energy
12-Jun-23,26473.15," 1,914 "," 2,414 ",Nifty Con Durable
12-Jun-23,43944.2,1308.45," 1,808 ",Nifty Bank
12-Jun-23,4054.6, 70 , 570 ,Nifty PSU Banks
13-Jun-23,520.7, 93 , 593 ,Nifty Realty
13-Jun-23,19469, 476 , 976 ,Nifty Financial Services
13-Jun-23,14658.3, (16), 484 ,Nifty Auto
13-Jun-23,12993.75, 539 ," 1,039 ",Nifty Pharma
13-Jun-23,22558.7," 1,001 "," 1,501 ",Nifty Private Bank
13-Jun-23,7522.05, 170 , 670 ,Nifty Oil & Gas
13-Jun-23,6127.65, 424 , 924 ,Nifty Metal
13-Jun-23,1815.25,131, 631 ,Nifty Media
13-Jun-23,28899.3," 1,886 "," 2,386 ",Nifty IT
13-Jun-23,8454.05, 570 ," 1,070 ",Nifty Healthcare
13-Jun-23,51462.7," 4,520 "," 5,020 ",Nifty FMCG
13-Jun-23,24399.2," 1,192 "," 1,692 ",Nifty Energy
13-Jun-23,26853.15," 2,294 "," 2,794 ",Nifty Con Durable
13-Jun-23,44079.85,1444.1," 1,944 ",Nifty Bank
13-Jun-23,4062.95, 79 , 579 ,Nifty PSU Banks
14-Jun-23,522.15, 94 , 594 ,Nifty Realty
14-Jun-23,19418.3, 425 , 925 ,Nifty Financial Services
14-Jun-23,14682.7, 24 , 524 ,Nifty Auto
14-Jun-23,12976.8, 522 ," 1,022 ",Nifty Pharma
14-Jun-23,22476.35, 919 ," 1,419 ",Nifty Private Bank
14-Jun-23,7590.8, 238 , 738 ,Nifty Oil & Gas
14-Jun-23,6214.75, 511 ," 1,011 ",Nifty Metal
14-Jun-23,1805,121, 621 ,Nifty Media
14-Jun-23,28855.05," 1,841 "," 2,341 ",Nifty IT
14-Jun-23,8462.35, 578 ," 1,078 ",Nifty Healthcare
14-Jun-23,51767.9," 4,825 "," 5,325 ",Nifty FMCG
14-Jun-23,24638.6," 1,431 "," 1,931 ",Nifty Energy
