Symbol  ,Date  ,Close Price  ,Total Traded Quantity  ,Gain,Loss,Average Gain,Average Loss,RS,RSI
HDFCBANK,01-Aug-23,603.8," 3,56,400 ",0,1058.45, 405.10 , 452.18 , 0.90 , 47 
HDFCBANK,02-Aug-23,"1,640.50"," 1,40,58,161 ",1036.7,0, 450.21 , 419.88 , 1.07 , 52 
HDFCBANK,02-Aug-23,578.2," 3,02,400 ",0,1062.3, 418.05 , 465.77 , 0.90 , 47 
HDFCBANK,03-Aug-23,"1,628.65"," 2,88,36,973 ",1050.45,0, 463.22 , 432.50 , 1.07 , 52 
HDFCBANK,03-Aug-23,564.95," 4,46,400 ",0,1063.7, 430.14 , 477.58 , 0.90 , 47 
HDFCBANK,04-Aug-23,"1,652.20"," 1,86,94,152 ",1087.25,0, 477.07 , 443.47 , 1.08 , 52 
HDFCBANK,04-Aug-23,598.15," 6,13,800 ",0,1054.05, 443.00 , 487.08 , 0.91 , 48 
HDFCBANK,07-Aug-23,"1,651.25"," 1,41,50,459 ",1053.1,0, 486.57 , 452.29 , 1.08 , 52 
HDFCBANK,07-Aug-23,604.5," 4,00,200 ",0,1046.75, 451.82 , 494.75 , 0.91 , 48 
HDFCBANK,08-Aug-23,"1,649.90"," 2,18,86,914 ",1045.4,0, 494.22 , 459.41 , 1.08 , 52 
HDFCBANK,08-Aug-23,600.5," 61,800 ",0,1049.4, 458.92 , 501.56 , 0.91 , 48 
HDFCBANK,09-Aug-23,"1,650.50"," 1,66,80,618 ",1050,0, 501.14 , 465.73 , 1.08 , 52 
HDFCBANK,09-Aug-23,594.15," 43,200 ",0,1056.35, 465.34 , 507.92 , 0.92 , 48 
HDFCBANK,10-Aug-23,"1,650.50"," 1,12,425 ",1056.35,0, 507.56 , 471.64 , 1.08 , 52 
HDFCBANK,10-Aug-23,"1,635.85"," 2,53,90,559 ",0,14.65, 471.30 , 439.00 , 1.07 , 52 
HDFCBANK,11-Aug-23,"1,618.80"," 1,41,12,911 ",0,17.05, 437.64 , 408.86 , 1.07 , 52 
HDFCBANK,14-Aug-23,"1,610.90"," 1,56,52,205 ",0,7.9, 406.38 , 380.22 , 1.07 , 52 
HDFCBANK,16-Aug-23,"1,606.20"," 1,70,68,771 ",0,4.7, 377.35 , 353.39 , 1.07 , 52 
HDFCBANK,17-Aug-23,"1,597.30"," 2,64,42,020 ",0,8.9, 350.40 , 328.79 , 1.07 , 52 
HDFCBANK,18-Aug-23,"1,590.75"," 1,28,16,683 ",0,6.55, 325.37 , 305.77 , 1.06 , 52 
HDFCBANK,21-Aug-23,"1,589.50"," 1,09,18,635 ",0,1.25, 302.13 , 284.02 , 1.06 , 52 
HDFCBANK,22-Aug-23,"1,582.70"," 1,61,36,785 ",0,6.8, 280.55 , 264.22 , 1.06 , 51 
HDFCBANK,23-Aug-23,"1,586.60"," 1,82,49,294 ",3.9,0, 260.79 , 245.34 , 1.06 , 52 
HDFCBANK,24-Aug-23,"1,579.30"," 2,15,72,896 ",0,7.3, 242.16 , 228.34 , 1.06 , 51 
HDFCBANK,25-Aug-23,"1,561.50"," 1,50,34,878 ",0,17.8, 224.86 , 213.30 , 1.05 , 51 
HDFCBANK,28-Aug-23,"1,577.75"," 1,44,33,619 ",16.25,0, 209.96 , 198.07 , 1.06 , 51 
